date,actualEarningResult,estimatedEarning,eps_surprise_pct,eps_beat
2026-02-03 16:00:00,1.53,1.32,0.1598,1
2025-11-04 16:00:00,1.2,1.17,0.0248,1
2025-08-05 16:00:00,0.48,0.48,-0.0055000000000000005,1
2025-05-06 16:00:00,0.96,0.93,0.028300000000000002,1
2025-02-04 16:00:00,1.09,1.09,0.0036,1
2024-10-29 16:00:00,0.92,0.92,0.0046,1
2024-07-30 16:00:00,0.69,0.68,0.0126,1
2024-04-30 16:00:00,0.62,0.61,0.0204,1
2024-01-30 16:00:00,0.77,0.77,-0.0001,1
2023-10-31 16:00:00,0.7,0.68,0.0359,1
2023-08-01 16:00:00,0.58,0.57,0.0105,1
2023-05-02 16:00:00,0.6,0.56,0.065,1
2023-01-31 16:00:00,0.69,0.67,0.025099999999999997,1
2022-11-01 16:00:00,0.67,0.7,-0.0483,0
2022-08-02 16:00:00,1.05,1.04,0.0137,1
2022-05-03 16:00:00,1.13,0.92,0.2223,1
2022-02-01 16:00:00,0.92,0.76,0.2138,1
2021-10-26 16:00:00,0.73,0.66,0.10039999999999999,1
2021-07-27 16:00:00,0.63,0.54,0.16949999999999998,1
2021-04-27 16:00:00,0.52,0.44,0.18309999999999998,1
2021-01-26 16:00:00,0.52,0.48,0.0946,1
2020-10-27 06:00:00,0.41,0.36,0.1549,1
2020-07-28 16:00:00,0.18,0.17,0.08779999999999999,1
2020-04-28 17:00:00,0.18,0.18,-0.0232,1
